Date,Apple,Amazon,Msft,Ibm,Spx
12/29/2016,-0.03%,-0.90%,-0.14%,0.25%,-0.03%
12/30/2016,-0.78%,-2.00%,-1.21%,-0.37%,-0.46%
1/3/2017,0.28%,0.51%,0.71%,0.72%,0.85%
1/4/2017,-0.11%,0.47%,-0.45%,1.24%,0.57%
1/5/2017,0.51%,3.07%,0.00%,-0.33%,-0.08%
1/6/2017,1.11%,1.99%,0.87%,0.49%,0.35%
1/9/2017,0.92%,0.12%,-0.32%,-1.11%,-0.35%
1/10/2017,0.10%,-0.13%,-0.03%,-1.27%,0.00%
1/11/2017,0.54%,0.39%,0.91%,1.35%,0.28%
1/12/2017,-0.42%,1.83%,-0.92%,0.12%,-0.21%
1/13/2017,-0.18%,0.43%,0.14%,-0.36%,0.18%
1/17/2017,0.81%,-0.91%,-0.27%,0.33%,-0.30%
1/18/2017,-0.01%,-0.28%,-0.05%,-0.65%,0.18%
1/19/2017,-0.18%,0.19%,-0.32%,0.01%,-0.36%
1/20/2017,0.18%,-0.09%,0.71%,2.24%,0.34%
1/23/2017,0.07%,1.18%,0.35%,0.28%,-0.27%
1/24/2017,-0.09%,0.56%,0.89%,2.85%,0.66%
1/25/2017,1.59%,1.71%,0.25%,1.36%,0.80%
1/26/2017,0.05%,0.31%,0.93%,0.21%,-0.07%
1/27/2017,0.01%,-0.40%,2.35%,-0.76%,-0.09%
1/30/2017,-0.26%,-0.64%,-0.99%,-0.85%,-0.60%
1/31/2017,-0.23%,-0.83%,-0.74%,-0.73%,-0.09%
2/1/2017,6.10%,1.08%,-1.66%,-0.13%,0.03%
2/2/2017,-0.17%,0.91%,-0.64%,0.17%,0.06%
2/3/2017,0.43%,-3.54%,0.81%,0.71%,0.73%
2/6/2017,0.94%,-0.32%,-0.06%,0.02%,-0.21%
2/7/2017,0.95%,0.60%,-0.33%,1.48%,0.02%
2/8/2017,0.39%,0.89%,-0.14%,-1.28%,0.07%
2/9/2017,0.29%,0.20%,1.14%,0.59%,0.58%
2/10/2017,-0.23%,0.74%,-0.09%,0.83%,0.36%
2/13/2017,0.89%,1.10%,1.12%,0.38%,0.52%
2/14/2017,1.30%,-0.02%,-0.23%,0.43%,0.40%
2/15/2017,0.36%,0.75%,-0.06%,0.86%,0.50%
2/16/2017,-0.12%,0.17%,-0.02%,-0.14%,-0.09%
2/17/2017,0.28%,0.11%,0.15%,-0.42%,0.17%
2/21/2017,0.72%,1.35%,-0.20%,-0.23%,0.60%
2/22/2017,0.30%,-0.10%,-0.20%,0.49%,-0.11%
2/23/2017,-0.42%,-0.40%,0.40%,0.28%,0.04%
2/24/2017,0.10%,-0.82%,0.00%,-0.17%,0.15%
2/27/2017,0.20%,0.40%,-0.60%,-1.08%,0.10%
2/28/2017,0.04%,-0.42%,-0.39%,0.23%,-0.26%
3/1/2017,2.04%,0.95%,1.50%,1.18%,1.37%
3/2/2017,-0.59%,-0.49%,-1.43%,-0.78%,-0.59%
3/3/2017,0.59%,0.11%,0.37%,-0.27%,0.05%
3/6/2017,-0.31%,-0.38%,0.03%,0.23%,-0.33%
3/7/2017,0.13%,-0.07%,0.20%,-0.05%,-0.29%
3/8/2017,-0.37%,0.53%,0.92%,-0.52%,-0.23%
3/9/2017,-0.23%,0.29%,-0.40%,-1.26%,0.08%
3/10/2017,0.33%,-0.06%,0.31%,0.37%,0.33%
3/13/2017,0.04%,0.25%,-0.34%,-0.77%,0.04%
3/14/2017,-0.15%,-0.24%,-0.46%,-0.42%,-0.34%
3/15/2017,1.06%,0.05%,0.53%,0.05%,0.84%
3/16/2017,0.16%,0.05%,-0.17%,0.81%,-0.16%
3/17/2017,-0.50%,-0.13%,0.36%,-0.90%,-0.13%
3/20/2017,1.05%,0.55%,0.09%,0.03%,-0.20%
3/21/2017,-1.15%,-1.61%,-1.11%,-1.04%,-1.24%
3/22/2017,1.13%,0.58%,1.28%,0.52%,0.19%
3/23/2017,-0.35%,-0.08%,-0.25%,0.02%,-0.11%
3/24/2017,-0.20%,-0.21%,0.17%,-0.57%,-0.08%
3/27/2017,0.17%,0.14%,0.18%,-0.03%,-0.10%
3/28/2017,2.07%,1.08%,0.29%,0.43%,0.73%
3/29/2017,0.22%,2.14%,0.28%,-0.33%,0.11%
3/30/2017,-0.13%,0.23%,0.37%,-0.05%,0.29%
3/31/2017,-0.19%,1.16%,0.23%,0.16%,-0.23%
4/3/2017,0.03%,0.56%,-0.47%,0.21%,-0.16%
4/4/2017,0.74%,1.72%,0.27%,0.01%,0.06%
4/5/2017,-0.52%,0.27%,-0.26%,-0.94%,-0.31%
4/6/2017,-0.25%,-1.21%,0.26%,-0.25%,0.19%
4/7/2017,-0.22%,-0.38%,-0.08%,-0.18%,-0.08%
4/10/2017,-0.12%,1.36%,-0.23%,-0.55%,0.07%
4/11/2017,-1.08%,-0.52%,-0.08%,-0.36%,-0.14%
4/12/2017,0.12%,-0.68%,-0.38%,0.05%,-0.38%
4/13/2017,-0.53%,-1.29%,-0.43%,-0.66%,-0.68%
4/17/2017,0.55%,1.96%,0.82%,0.93%,0.86%
4/18/2017,-0.44%,0.20%,-0.14%,-0.61%,-0.29%
4/19/2017,-0.37%,-0.51%,-0.54%,-4.92%,-0.17%
4/20/2017,1.25%,0.32%,0.71%,0.38%,0.76%
4/21/2017,-0.12%,-0.39%,1.37%,-1.18%,-0.30%
4/24/2017,0.96%,0.99%,1.70%,0.23%,1.08%
4/25/2017,0.62%,0.02%,0.58%,-0.22%,0.61%
4/26/2017,-0.59%,0.18%,-0.13%,-0.21%,-0.05%
4/27/2017,0.08%,1.00%,0.65%,0.16%,0.06%
4/28/2017,-0.10%,0.72%,0.28%,-0.02%,-0.19%
5/1/2017,2.04%,2.51%,1.39%,-0.90%,0.17%
5/2/2017,0.63%,-0.14%,-0.16%,0.16%,0.12%
5/3/2017,-0.31%,-0.62%,-0.32%,-0.30%,-0.13%
5/4/2017,-0.36%,-0.37%,-0.39%,0.26%,0.06%
5/5/2017,1.66%,-0.36%,0.28%,-2.51%,0.41%
5/8/2017,2.72%,1.59%,-0.09%,-1.30%,0.00%
5/9/2017,0.64%,0.40%,0.15%,-0.60%,-0.10%
5/10/2017,-0.47%,-0.41%,0.39%,-0.57%,0.11%
5/11/2017,0.45%,-0.14%,-1.23%,-0.40%,-0.22%
5/12/2017,1.40%,1.45%,-0.12%,-0.19%,-0.15%
5/15/2017,-0.26%,-0.35%,0.07%,0.76%,0.48%
5/16/2017,-0.15%,0.85%,1.43%,1.43%,-0.07%
5/17/2017,-3.36%,-2.21%,-2.78%,-1.79%,-1.82%
5/18/2017,1.52%,1.45%,0.34%,-0.10%,0.37%
5/19/2017,0.34%,0.14%,-0.03%,0.80%,0.68%
5/22/2017,0.61%,1.13%,1.12%,0.43%,0.52%
5/23/2017,-0.12%,0.09%,0.34%,-0.40%,0.18%
5/24/2017,-0.30%,0.91%,0.13%,0.32%,0.25%
5/25/2017,0.35%,1.33%,1.24%,0.45%,0.44%
5/26/2017,-0.17%,0.24%,0.49%,-0.46%,0.03%
5/30/2017,0.04%,0.09%,0.64%,-0.50%,-0.12%
5/31/2017,-0.59%,-0.21%,-0.81%,0.59%,-0.05%
6/1/2017,0.27%,0.13%,0.37%,0.03%,0.76%
6/2/2017,1.48%,1.08%,2.37%,-0.41%,0.37%
6/5/2017,-0.98%,0.46%,0.72%,0.24%,-0.12%
6/6/2017,0.34%,-0.82%,0.33%,-0.03%,-0.28%
6/7/2017,0.60%,0.70%,-0.18%,-0.91%,0.16%
6/8/2017,-0.24%,0.02%,-0.61%,0.74%,0.03%
6/9/2017,-3.88%,-3.16%,-2.27%,1.31%,-0.08%
6/12/2017,-2.39%,-1.37%,-0.77%,0.70%,-0.10%
6/13/2017,0.80%,1.65%,1.25%,-0.60%,0.45%
6/14/2017,-0.98%,-0.44%,-0.54%,-0.29%,-0.10%
6/15/2017,-0.60%,-1.26%,-0.53%,0.27%,-0.22%
6/16/2017,-1.40%,2.44%,0.14%,0.75%,0.03%
6/19/2017,2.86%,0.76%,1.24%,-0.35%,0.83%
6/20/2017,-0.91%,-0.26%,-1.35%,0.07%,-0.67%
6/21/2017,0.59%,0.97%,0.51%,-0.75%,-0.06%
6/22/2017,-0.16%,-0.09%,-0.01%,0.40%,-0.05%
6/23/2017,0.45%,0.24%,1.35%,-0.19%,0.16%
6/26/2017,-0.31%,-0.97%,-0.95%,0.73%,0.03%
6/27/2017,-1.43%,-1.73%,-1.87%,-0.31%,-0.81%
6/28/2017,1.46%,1.39%,0.85%,0.37%,0.88%
6/29/2017,-1.47%,-1.45%,-1.88%,-0.77%,-0.86%
6/30/2017,0.24%,-0.81%,0.64%,-0.19%,0.15%
7/3/2017,-0.36%,-1.48%,-1.10%,1.14%,0.23%
7/5/2017,0.41%,1.86%,1.33%,-1.23%,0.15%
7/6/2017,-0.94%,-0.64%,-0.74%,-0.85%,-0.94%
7/7/2017,1.02%,1.41%,1.30%,0.38%,0.64%
7/10/2017,0.61%,1.81%,0.75%,0.31%,0.09%
7/11/2017,0.32%,-0.23%,0.01%,-0.15%,-0.08%
7/12/2017,0.14%,1.25%,1.66%,0.33%,0.73%
7/13/2017,1.39%,-0.58%,0.87%,-0.05%,0.19%
7/14/2017,0.86%,0.12%,1.41%,0.40%,0.47%
7/17/2017,0.35%,0.82%,0.78%,-0.80%,-0.01%
7/18/2017,0.35%,1.43%,-0.07%,0.65%,0.06%
7/19/2017,0.63%,0.24%,0.76%,-4.20%,0.54%
7/20/2017,-0.45%,0.18%,0.49%,0.09%,-0.02%
7/21/2017,-0.05%,-0.29%,-0.58%,-0.39%,-0.04%
7/24/2017,1.21%,1.29%,-0.26%,-0.74%,-0.11%
7/25/2017,0.43%,0.09%,0.80%,0.14%,0.29%
7/26/2017,0.47%,1.24%,-0.19%,-0.57%,0.03%
7/27/2017,-1.89%,-0.65%,-1.20%,-0.20%,-0.10%
7/28/2017,-0.70%,-2.48%,-0.16%,-0.54%,-0.13%
7/31/2017,-0.52%,-3.16%,-0.47%,0.26%,-0.07%
8/1/2017,0.89%,0.85%,-0.17%,0.44%,0.24%
8/2/2017,4.73%,-0.03%,-0.44%,-0.58%,0.05%
8/3/2017,-1.00%,-0.90%,-0.15%,0.34%,-0.22%
8/4/2017,0.53%,0.07%,0.73%,0.15%,0.19%
8/7/2017,1.55%,0.47%,-0.39%,-1.16%,0.16%
8/8/2017,0.80%,-0.24%,0.54%,-0.95%,-0.24%
8/9/2017,0.61%,-0.79%,-0.44%,-0.24%,-0.04%
8/10/2017,-3.56%,-2.55%,-1.46%,0.05%,-1.45%
8/11/2017,1.39%,1.16%,1.53%,0.00%,0.13%
8/14/2017,1.50%,1.58%,1.50%,0.34%,1.00%
8/15/2017,1.09%,-0.06%,-0.50%,-0.18%,-0.05%
8/16/2017,-0.40%,-0.46%,0.59%,0.30%,0.14%
8/17/2017,-1.92%,-1.80%,-1.70%,-1.26%,-1.54%
8/18/2017,-0.23%,-0.22%,0.12%,-0.71%,-0.18%
8/21/2017,-0.18%,-0.54%,-0.47%,0.45%,0.12%
8/22/2017,1.63%,1.43%,1.40%,0.48%,0.99%
8/23/2017,0.13%,-0.92%,-0.60%,0.80%,-0.35%
8/24/2017,-0.44%,-0.58%,-0.04%,0.56%,-0.21%
8/25/2017,0.37%,-0.75%,0.18%,0.56%,0.17%
8/28/2017,1.01%,0.08%,0.01%,-0.86%,0.05%
8/29/2017,0.89%,0.85%,0.30%,0.44%,0.08%
8/30/2017,0.27%,1.42%,1.31%,-0.41%,0.46%
8/31/2017,0.40%,1.34%,1.03%,0.33%,0.57%
9/1/2017,0.03%,-0.24%,-1.11%,0.73%,0.20%
9/5/2017,-1.20%,-1.33%,-0.45%,-0.72%,-0.76%
9/6/2017,-0.10%,0.26%,-0.29%,0.55%,0.31%
9/7/2017,-0.40%,1.21%,1.28%,-0.64%,-0.02%
9/8/2017,-1.63%,-1.39%,-0.48%,-0.31%,-0.15%
9/11/2017,1.81%,1.25%,1.05%,1.69%,1.08%
9/12/2017,-0.40%,0.47%,-0.11%,0.62%,0.34%
9/13/2017,-0.75%,1.73%,0.71%,0.16%,0.08%
9/14/2017,-0.86%,-0.74%,-0.59%,-0.31%,-0.11%
9/15/2017,1.01%,-0.55%,0.72%,-0.49%,0.18%
9/18/2017,-0.76%,-1.28%,-0.20%,-0.19%,0.15%
9/19/2017,0.04%,-0.44%,0.37%,-0.11%,0.11%
9/20/2017,-1.68%,0.35%,-0.66%,1.03%,0.06%
9/21/2017,-1.72%,-0.88%,-0.97%,-0.43%,-0.30%
9/22/2017,-0.98%,-0.99%,0.27%,-0.09%,0.06%
9/25/2017,-0.88%,-1.60%,-1.55%,0.51%,-0.22%
9/26/2017,1.72%,-0.13%,0.00%,0.47%,0.01%
9/27/2017,0.71%,1.31%,0.81%,-0.61%,0.41%
9/28/2017,-0.62%,0.58%,0.03%,0.00%,0.12%
9/29/2017,0.55%,0.52%,0.84%,-0.40%,0.37%
10/2/2017,-0.20%,-0.22%,0.16%,1.09%,0.39%
10/3/2017,0.44%,-0.22%,-0.47%,0.08%,0.22%
10/4/2017,-0.65%,0.87%,0.58%,-0.20%,0.12%
10/5/2017,1.24%,1.60%,1.71%,0.16%,0.56%
10/6/2017,-0.06%,0.89%,0.04%,-0.16%,-0.11%
10/9/2017,0.35%,0.14%,0.38%,0.62%,-0.18%
10/10/2017,0.04%,-0.38%,0.00%,0.75%,0.23%
10/11/2017,0.42%,0.79%,0.17%,-0.59%,0.18%
10/12/2017,-0.35%,0.60%,0.92%,-0.40%,-0.17%
10/13/2017,0.63%,0.20%,0.48%,0.05%,0.09%
10/16/2017,1.84%,0.34%,0.21%,-0.18%,0.18%
10/17/2017,0.37%,0.28%,-0.08%,-0.20%,0.07%
10/18/2017,-0.44%,-1.20%,0.03%,8.86%,0.07%
10/19/2017,-2.37%,-1.04%,0.39%,0.86%,0.03%
10/20/2017,0.17%,-0.38%,1.16%,0.73%,0.51%
10/23/2017,-0.05%,-1.69%,0.03%,-1.55%,-0.40%
10/24/2017,0.60%,0.99%,0.04%,-2.30%,0.16%
10/25/2017,-0.44%,-0.31%,-0.29%,-1.53%,-0.47%
10/26/2017,0.64%,-0.05%,0.17%,0.07%,0.13%
10/27/2017,3.58%,13.22%,6.41%,0.05%,0.81%
10/30/2017,2.25%,0.90%,0.10%,0.44%,-0.32%
10/31/2017,1.39%,-0.50%,-0.85%,-0.19%,0.09%
11/1/2017,-1.27%,-0.14%,0.00%,-0.02%,0.16%
11/2/2017,0.73%,-0.86%,1.05%,-0.44%,0.02%
11/3/2017,2.61%,1.59%,0.11%,-1.15%,0.31%
11/6/2017,1.01%,0.82%,0.39%,-0.49%,0.13%
11/7/2017,0.32%,0.22%,-0.24%,0.34%,-0.02%
11/8/2017,0.82%,0.86%,0.34%,0.15%,0.14%
11/9/2017,-0.20%,-0.33%,-0.56%,-0.84%,-0.38%
11/10/2017,-0.69%,-0.33%,-0.26%,-0.76%,-0.09%
11/13/2017,-0.40%,0.34%,0.07%,-0.51%,0.10%
11/14/2017,-1.51%,0.68%,0.14%,0.33%,-0.23%
11/15/2017,-1.32%,-0.89%,-1.27%,-1.20%,-0.55%
11/16/2017,1.19%,0.94%,0.27%,1.37%,0.82%
11/17/2017,-0.56%,-0.65%,-0.96%,-0.10%,-0.26%
11/20/2017,-0.10%,-0.32%,0.16%,1.03%,0.13%
11/21/2017,1.86%,1.17%,1.44%,0.96%,0.65%
11/22/2017,1.05%,1.46%,-0.73%,-0.12%,-0.08%
11/24/2017,0.01%,2.58%,0.18%,0.05%,0.21%
11/27/2017,-0.50%,0.83%,0.73%,0.09%,-0.04%
11/28/2017,-0.59%,-0.19%,1.20%,0.32%,0.98%
11/29/2017,-2.07%,-2.71%,-1.81%,0.71%,-0.04%
11/30/2017,1.40%,1.33%,1.00%,0.27%,0.82%
12/1/2017,-0.47%,-1.22%,0.11%,0.51%,-0.20%
12/4/2017,-0.73%,-2.44%,-3.77%,1.10%,-0.11%
12/5/2017,-0.09%,0.67%,0.63%,-0.71%,-0.37%
12/6/2017,-0.37%,0.94%,1.46%,-0.80%,-0.01%
12/7/2017,0.18%,0.65%,-0.35%,-0.34%,0.29%
12/8/2017,0.03%,0.19%,2.02%,0.81%,0.55%
12/11/2017,1.95%,0.60%,1.27%,0.39%,0.32%
12/12/2017,-0.56%,-0.33%,0.41%,0.86%,0.15%
12/13/2017,0.33%,-0.08%,-0.27%,-1.81%,-0.05%
12/14/2017,-0.03%,0.87%,-0.77%,0.06%,-0.41%
12/15/2017,1.02%,0.42%,2.55%,-0.97%,0.90%
12/18/2017,1.41%,0.97%,-0.54%,0.54%,0.54%
12/19/2017,-1.07%,-0.27%,-0.64%,-0.07%,-0.32%
12/20/2017,-0.11%,-0.82%,-0.36%,-0.18%,-0.08%
12/21/2017,0.38%,-0.24%,-0.02%,-0.95%,0.20%
12/22/2017,0.00%,-0.54%,0.01%,0.66%,-0.05%
12/26/2017,-2.54%,0.72%,-0.13%,0.22%,-0.11%
12/27/2017,0.02%,0.47%,0.36%,0.20%,0.08%
12/28/2017,0.28%,0.32%,0.01%,0.59%,0.18%
12/29/2017,-1.08%,-1.40%,-0.21%,-0.40%,-0.52%
1/2/2018,1.79%,1.67%,0.48%,0.54%,0.83%
1/3/2018,-0.02%,1.28%,0.47%,2.75%,0.64%
1/4/2018,0.46%,0.45%,0.88%,2.03%,0.40%
1/5/2018,1.14%,1.62%,1.24%,0.49%,0.70%
1/8/2018,-0.37%,1.44%,0.10%,0.60%,0.17%
1/9/2018,-0.01%,0.47%,-0.07%,0.22%,0.13%
1/10/2018,-0.02%,0.13%,-0.45%,0.21%,-0.11%
1/11/2018,0.57%,1.78%,0.30%,0.01%,0.70%
1/12/2018,1.03%,2.23%,1.73%,-0.65%,0.67%
1/16/2018,-0.51%,-0.03%,-1.40%,0.44%,-0.35%
1/17/2018,1.65%,-0.76%,2.03%,2.93%,0.94%
1/18/2018,0.09%,-0.13%,-0.04%,0.28%,-0.16%
1/19/2018,-0.45%,0.10%,-0.11%,-3.99%,0.44%
1/22/2018,-0.82%,2.53%,1.79%,0.14%,0.81%
1/23/2018,0.02%,2.65%,0.32%,2.24%,0.22%
1/24/2018,-1.59%,-0.37%,-0.09%,-0.53%,-0.06%
1/25/2018,-1.79%,1.51%,0.56%,0.06%,0.06%
1/26/2018,0.23%,1.75%,1.87%,1.13%,1.18%
1/29/2018,-2.07%,1.11%,-0.15%,-0.32%,-0.67%
1/30/2018,-0.59%,1.42%,-1.26%,-1.91%,-1.09%
1/31/2018,0.28%,0.91%,2.45%,0.05%,0.05%
2/1/2018,0.21%,-4.20%,-0.79%,-0.79%,-0.06%
2/2/2018,-4.34%,2.87%,-2.63%,-2.08%,-2.12%
2/5/2018,-2.50%,-2.79%,-4.12%,-4.09%,-4.10%
2/6/2018,4.18%,3.80%,3.78%,1.84%,1.74%
2/7/2018,-2.14%,-1.81%,-1.88%,-0.96%,-0.50%
2/8/2018,-2.75%,-4.68%,-5.13%,-4.07%,-3.75%
2/9/2018,0.81%,-0.81%,3.73%,1.30%,1.49%
2/12/2018,4.03%,3.48%,1.08%,1.26%,1.39%
2/13/2018,1.00%,2.04%,0.79%,-0.43%,0.26%
2/14/2018,1.84%,2.58%,1.09%,2.66%,1.34%
2/15/2018,3.36%,0.74%,2.04%,0.81%,1.21%
2/16/2018,-0.32%,-0.89%,-0.71%,0.11%,0.04%
2/20/2018,-0.34%,1.36%,0.78%,-0.65%,-0.58%
2/21/2018,-0.45%,0.99%,-1.33%,-0.77%,-0.55%
2/22/2018,0.84%,0.16%,0.26%,-0.51%,0.10%
2/23/2018,1.74%,0.99%,2.54%,1.53%,1.60%
2/26/2018,1.98%,1.46%,1.45%,1.97%,1.18%
2/27/2018,-0.32%,-0.66%,-1.28%,-1.28%,-1.27%
2/28/2018,-0.15%,0.03%,-0.46%,-0.46%,-1.11%
3/1/2018,-1.75%,-1.26%,-0.98%,-1.30%,-1.33%
3/2/2018,0.69%,0.46%,0.22%,0.44%,0.51%
3/5/2018,0.35%,1.56%,0.63%,1.59%,1.10%
3/6/2018,-0.08%,0.92%,-0.34%,-0.78%,0.26%
3/7/2018,-0.93%,0.48%,0.58%,1.67%,-0.05%
3/8/2018,1.09%,0.44%,0.61%,-1.33%,0.45%
3/9/2018,1.72%,1.74%,2.23%,1.98%,1.74%
3/12/2018,0.97%,1.24%,0.24%,0.60%,-0.13%
3/13/2018,-0.96%,-0.64%,-2.44%,-0.59%,-0.64%
3/14/2018,-0.85%,0.18%,-0.59%,-0.75%,-0.57%
3/15/2018,0.12%,-0.55%,0.35%,0.94%,-0.08%
3/16/2018,-0.35%,-0.67%,0.45%,0.41%,0.17%
3/19/2018,-1.53%,-1.70%,-1.81%,-1.82%,-1.42%
3/20/2018,-0.03%,2.69%,0.26%,-0.73%,0.15%
3/21/2018,-2.27%,-0.29%,-0.70%,0.31%,-0.18%
3/22/2018,-1.41%,-2.34%,-2.91%,-2.94%,-2.52%
3/23/2018,-2.32%,-3.19%,-2.91%,-2.10%,-2.10%
3/26/2018,4.75%,4.03%,7.57%,3.01%,2.72%
3/27/2018,-2.56%,-3.78%,-4.60%,-0.95%,-1.73%
3/28/2018,-1.10%,-4.38%,-0.09%,0.40%,-0.29%
3/29/2018,0.78%,1.11%,2.10%,0.60%,1.38%
4/2/2018,-0.66%,-5.21%,-3.01%,-2.19%,-2.23%
4/3/2018,1.03%,1.46%,1.34%,-0.15%,1.26%
4/4/2018,1.91%,1.33%,2.92%,2.85%,1.16%
4/5/2018,0.69%,2.92%,0.05%,-0.06%,0.69%
4/6/2018,-2.56%,-3.20%,-2.33%,-2.25%,-2.19%
4/9/2018,0.99%,0.06%,0.60%,1.41%,0.33%
4/10/2018,1.88%,2.14%,2.32%,1.77%,1.67%
4/11/2018,-0.47%,-0.64%,-1.10%,-0.02%,-0.55%
4/12/2018,0.99%,1.50%,1.87%,1.74%,0.83%
4/13/2018,0.34%,-1.22%,-0.53%,-0.86%,-0.29%
4/16/2018,0.62%,0.75%,1.17%,0.75%,0.81%
4/17/2018,1.38%,4.32%,2.02%,1.91%,1.07%
4/18/2018,-0.22%,1.60%,0.39%,-7.53%,0.08%
4/19/2018,-2.83%,1.90%,-0.34%,-0.73%,-0.57%
4/20/2018,-4.10%,-1.89%,-1.15%,-1.90%,-0.85%
4/23/2018,-0.29%,-0.63%,0.37%,0.66%,0.01%
4/24/2018,-1.39%,-3.81%,-2.34%,-0.21%,-1.34%
4/25/2018,0.44%,0.01%,-0.87%,0.26%,0.18%
4/26/2018,0.35%,3.96%,2.11%,0.53%,1.04%
4/27/2018,-1.16%,3.60%,1.65%,-0.16%,0.11%
4/30/2018,1.81%,-0.41%,-2.40%,-1.04%,-0.82%
5/1/2018,2.32%,1.03%,1.58%,0.03%,0.25%
5/2/2018,4.42%,-0.80%,-1.57%,-1.76%,-0.72%
5/3/2018,0.18%,0.15%,0.60%,-0.32%,-0.23%
5/4/2018,3.92%,0.56%,1.16%,1.35%,1.28%
5/7/2018,0.72%,1.21%,1.11%,-0.48%,0.35%
5/8/2018,0.48%,-0.48%,-0.43%,-0.15%,-0.03%
5/9/2018,0.70%,0.98%,1.18%,-0.27%,0.97%
5/10/2018,1.43%,0.07%,1.00%,1.14%,0.94%
5/11/2018,-0.76%,-0.38%,-0.21%,-0.07%,0.17%
5/14/2018,-0.23%,-0.09%,0.34%,0.11%,0.09%
5/15/2018,-0.91%,-1.59%,-0.72%,-0.39%,-0.68%
5/16/2018,0.93%,0.71%,-0.17%,0.62%,0.41%
5/17/2018,-0.63%,-0.35%,-1.00%,-0.09%,-0.09%
5/18/2018,-0.36%,-0.47%,0.19%,-0.29%,-0.26%
5/21/2018,0.71%,0.70%,1.29%,0.98%,0.74%
5/22/2018,-0.25%,-0.26%,-0.10%,-0.27%,-0.31%
5/23/2018,0.64%,1.29%,1.19%,-0.29%,0.32%
5/24/2018,-0.11%,0.08%,-0.35%,-0.41%,-0.20%
5/25/2018,0.23%,0.44%,0.05%,-0.30%,-0.24%
5/29/2018,-0.36%,0.17%,-0.36%,-1.68%,-1.16%
5/30/2018,-0.21%,0.75%,0.96%,0.99%,1.27%
5/31/2018,-0.34%,0.29%,-0.11%,-0.92%,-0.69%
6/1/2018,1.80%,0.73%,1.97%,0.45%,1.08%
6/4/2018,0.84%,1.45%,0.87%,0.77%,0.45%
6/5/2018,0.77%,1.87%,0.51%,0.46%,0.07%
6/6/2018,0.35%,-0.04%,0.29%,0.70%,0.86%
6/7/2018,-0.27%,-0.38%,-1.57%,0.45%,-0.07%
6/8/2018,-0.91%,-0.31%,0.74%,0.54%,0.31%
6/11/2018,-0.25%,0.30%,-0.57%,0.30%,0.11%
6/12/2018,0.55%,0.57%,0.26%,0.20%,0.17%
6/13/2018,-0.82%,0.36%,-0.45%,-0.35%,-0.40%
6/14/2018,0.05%,1.11%,0.57%,-0.79%,0.25%
6/15/2018,-1.03%,-0.46%,-1.27%,0.13%,-0.10%
6/18/2018,-0.05%,0.46%,0.73%,-0.63%,-0.21%
6/19/2018,-1.62%,0.64%,0.00%,-0.40%,-0.40%
6/20/2018,0.44%,0.88%,1.00%,-0.88%,0.17%
6/21/2018,-0.56%,-1.13%,-0.72%,-0.97%,-0.63%
6/22/2018,-0.29%,-0.84%,-0.72%,0.02%,0.19%
6/25/2018,-1.49%,-3.06%,-2.01%,-1.76%,-1.37%
6/26/2018,1.24%,1.68%,0.70%,0.21%,0.22%
6/27/2018,-0.15%,-1.81%,-1.55%,-1.15%,-0.86%
6/28/2018,0.73%,2.47%,1.12%,1.86%,0.62%
6/29/2018,-0.21%,-0.10%,-0.02%,-0.24%,0.08%
7/2/2018,1.12%,0.82%,1.42%,0.11%,0.31%
7/3/2018,-1.74%,-1.16%,-0.96%,-0.21%,-0.49%
7/5/2018,0.80%,0.34%,0.72%,1.33%,0.86%
7/6/2018,1.39%,0.64%,1.40%,0.74%,0.85%
7/9/2018,1.39%,1.66%,0.68%,1.34%,0.88%
7/10/2018,-0.12%,0.23%,0.27%,0.22%,0.35%
7/11/2018,-1.30%,0.68%,-0.14%,0.16%,-0.71%
7/12/2018,1.68%,2.37%,2.17%,1.04%,0.87%
7/13/2018,0.16%,0.91%,1.19%,-0.38%,0.11%
7/16/2018,-0.22%,0.52%,-0.49%,-0.30%,-0.10%
7/17/2018,0.28%,1.18%,0.99%,-1.35%,0.40%
7/18/2018,-0.55%,-0.05%,-0.78%,0.72%,0.22%
7/19/2018,0.78%,-1.63%,-0.68%,3.27%,-0.40%
7/20/2018,-0.23%,0.04%,1.79%,-1.94%,-0.09%
7/23/2018,0.09%,-0.65%,1.60%,-0.44%,0.18%
7/24/2018,0.73%,1.51%,-0.29%,0.47%,0.48%
7/25/2018,0.94%,1.88%,2.94%,0.16%,0.91%
7/26/2018,-0.31%,-2.98%,-1.09%,0.06%,-0.30%
7/27/2018,-1.66%,0.51%,-1.77%,-1.06%,-0.66%
7/30/2018,-0.56%,-2.09%,-2.15%,0.23%,-0.58%
7/31/2018,0.20%,-0.10%,0.67%,-0.38%,0.49%
8/1/2018,5.89%,1.11%,0.19%,-0.99%,-0.10%
8/2/2018,2.92%,2.07%,1.21%,-0.38%,0.49%
8/3/2018,0.29%,-0.60%,0.44%,3.32%,0.46%
8/6/2018,0.52%,1.34%,0.08%,-1.13%,0.35%
8/7/2018,-0.94%,0.80%,0.69%,0.67%,0.28%
8/8/2018,0.07%,1.29%,0.56%,-0.08%,-0.03%
8/9/2018,0.79%,0.64%,0.16%,-1.44%,-0.14%
8/10/2018,-0.65%,-0.64%,-0.61%,-0.20%,-0.71%
8/13/2018,0.65%,0.52%,-0.72%,-1.23%,-0.40%
