Date,Apple,Amazon,Msft,Ibm,Spx
5/1/2014,0.24%,1.24%,-0.99%,-1.50%,-0.01%
5/2/2014,0.19%,0.04%,-0.78%,-1.08%,-0.13%
5/5/2014,1.41%,0.66%,-0.66%,-0.09%,0.19%
5/6/2014,-1.09%,-4.09%,-0.94%,-0.64%,-0.90%
5/7/2014,-0.35%,-1.57%,0.93%,-0.38%,0.56%
5/8/2014,-0.73%,-1.50%,0.55%,-0.21%,-0.14%
5/9/2014,-0.42%,1.36%,-0.25%,0.62%,0.15%
5/12/2014,1.24%,3.63%,1.09%,1.31%,0.97%
5/13/2014,0.16%,0.59%,1.13%,-0.20%,0.04%
5/14/2014,0.02%,-2.30%,-0.45%,-1.81%,-0.47%
5/15/2014,-0.85%,-0.82%,-1.59%,-1.20%,-0.94%
5/16/2014,1.48%,0.85%,0.58%,0.32%,0.37%
5/19/2014,1.19%,-0.32%,-0.20%,-0.03%,0.38%
5/20/2014,0.02%,1.49%,-0.18%,-1.13%,-0.65%
5/21/2014,0.26%,1.27%,1.69%,0.81%,0.81%
5/22/2014,0.16%,-0.03%,-0.62%,-0.38%,0.24%
5/23/2014,1.13%,2.40%,0.05%,0.14%,0.42%
5/27/2014,1.87%,-0.45%,0.17%,-0.62%,0.60%
5/28/2014,-0.26%,-0.21%,-0.45%,-0.92%,-0.11%
5/29/2014,1.82%,1.17%,0.82%,0.37%,0.54%
5/30/2014,-0.37%,-0.39%,1.49%,0.33%,0.18%
6/2/2014,-0.69%,-1.19%,-0.37%,0.72%,0.07%
6/3/2014,1.41%,-0.53%,-1.23%,-0.71%,-0.04%
6/4/2014,1.14%,-0.13%,0.07%,0.08%,0.19%
6/5/2014,0.39%,5.47%,2.21%,0.80%,0.65%
6/6/2014,-0.28%,1.89%,0.66%,0.21%,0.46%
6/9/2014,1.60%,-0.66%,-0.51%,-0.08%,0.09%
6/10/2014,0.59%,1.50%,-0.39%,-1.04%,-0.02%
6/11/2014,-0.41%,0.84%,-0.61%,-1.11%,-0.35%
6/12/2014,-1.67%,-2.77%,-0.69%,-0.57%,-0.71%
6/13/2014,-1.09%,0.11%,1.60%,0.74%,0.31%
6/16/2014,1.01%,0.41%,0.65%,-0.12%,0.08%
6/17/2014,-0.13%,-0.61%,0.43%,-0.05%,0.22%
6/18/2014,0.11%,2.69%,-0.07%,0.74%,0.77%
6/19/2014,-0.35%,-2.21%,-0.34%,-0.42%,0.13%
6/20/2014,-1.03%,-0.86%,0.41%,-0.69%,0.17%
6/23/2014,-0.09%,0.94%,0.74%,0.32%,-0.01%
6/24/2014,-0.61%,-0.94%,-0.58%,-0.69%,-0.64%
6/25/2014,0.09%,1.01%,0.68%,-0.09%,0.49%
6/26/2014,0.60%,-0.53%,-0.74%,-0.19%,-0.12%
6/27/2014,1.19%,-0.34%,1.27%,0.74%,0.19%
6/30/2014,1.03%,0.06%,-1.30%,-0.24%,-0.04%
7/1/2014,0.63%,2.34%,0.41%,2.80%,0.67%
7/2/2014,-0.04%,0.14%,0.07%,1.09%,0.07%
7/3/2014,0.59%,1.39%,-0.24%,0.07%,0.55%
7/7/2014,2.06%,-1.17%,0.45%,-0.26%,-0.39%
7/8/2014,-0.64%,-2.92%,-0.50%,-0.44%,-0.70%
7/9/2014,0.04%,1.90%,-0.26%,0.64%,0.46%
7/10/2014,-0.37%,-0.62%,0.04%,-0.38%,-0.41%
7/11/2014,0.19%,5.57%,0.97%,0.16%,0.15%
7/14/2014,1.29%,2.63%,0.12%,0.99%,0.48%
7/15/2014,-1.17%,-0.25%,0.74%,-0.72%,-0.19%
7/16/2014,-0.57%,0.41%,3.84%,2.05%,0.42%
7/17/2014,-1.78%,-0.97%,1.02%,0.07%,-1.18%
7/18/2014,1.44%,1.76%,0.36%,0.01%,1.03%
7/21/2014,-0.52%,0.31%,0.32%,-0.86%,-0.23%
7/22/2014,0.83%,0.30%,-0.01%,1.70%,0.50%
7/23/2014,2.61%,-0.75%,0.09%,-0.24%,0.18%
7/24/2014,-0.16%,0.13%,-1.05%,0.83%,0.05%
7/25/2014,0.66%,-9.65%,0.23%,-0.43%,-0.48%
7/28/2014,1.38%,-1.11%,-1.19%,0.71%,0.03%
7/29/2014,-0.65%,-0.13%,-0.19%,-0.62%,-0.45%
7/30/2014,-0.23%,0.78%,-0.70%,-0.29%,0.01%
7/31/2014,-2.60%,-2.95%,-0.96%,-1.20%,-2.00%
8/1/2014,0.55%,-1.89%,-0.70%,-1.31%,-0.29%
8/4/2014,-0.56%,2.15%,1.19%,0.26%,0.72%
8/5/2014,-0.49%,-0.42%,-0.67%,-1.34%,-0.97%
8/6/2014,-0.17%,0.50%,-0.79%,-0.60%,0.00%
8/7/2014,-0.51%,-0.78%,1.15%,-0.90%,-0.56%
8/8/2014,0.28%,1.72%,-0.07%,1.26%,1.15%
8/11/2014,1.32%,0.48%,0.00%,0.45%,0.28%
8/12/2014,-0.02%,0.31%,0.74%,-0.07%,-0.16%
8/13/2014,1.32%,2.18%,1.29%,0.33%,0.67%
8/14/2014,0.27%,2.12%,0.43%,-0.04%,0.43%
8/15/2014,0.49%,0.13%,1.17%,-0.27%,-0.01%
8/18/2014,1.20%,0.27%,0.71%,1.06%,0.85%
8/19/2014,1.38%,0.18%,0.49%,0.37%,0.50%
8/20/2014,0.04%,0.19%,-0.84%,0.02%,0.25%
8/21/2014,0.01%,-0.85%,0.60%,0.59%,0.29%
8/22/2014,0.74%,-0.40%,-0.15%,-0.43%,-0.20%
8/25/2014,0.22%,0.73%,0.04%,0.39%,0.48%
8/26/2014,-0.64%,2.34%,-0.37%,0.96%,0.11%
8/27/2014,1.23%,0.39%,-0.30%,-0.38%,0.00%
8/28/2014,0.12%,-0.92%,0.02%,-0.13%,-0.17%
8/29/2014,0.24%,-0.29%,1.23%,0.16%,0.33%
9/2/2014,0.78%,0.99%,-0.75%,-0.38%,-0.05%
9/3/2014,-4.22%,-0.99%,-0.29%,0.20%,-0.08%
9/4/2014,-0.83%,2.05%,0.67%,-0.66%,-0.15%
9/5/2014,0.87%,0.12%,1.44%,0.27%,0.50%
9/8/2014,-0.62%,-1.17%,1.22%,-0.55%,-0.31%
9/9/2014,-0.38%,-3.68%,0.62%,-0.08%,-0.65%
9/10/2014,3.07%,0.48%,0.17%,0.82%,0.36%
9/11/2014,0.43%,-0.24%,0.34%,0.09%,0.09%
9/12/2014,0.23%,0.20%,-0.65%,-0.23%,-0.60%
9/15/2014,-0.03%,-2.20%,-0.97%,0.28%,-0.07%
9/16/2014,-0.76%,1.19%,1.12%,0.60%,0.75%
9/17/2014,0.71%,-1.15%,-0.51%,-0.08%,0.13%
9/18/2014,0.21%,0.31%,0.34%,0.49%,0.49%
9/19/2014,-0.82%,1.94%,1.80%,0.13%,-0.05%
9/22/2014,0.10%,-2.06%,-0.97%,-0.46%,-0.80%
9/23/2014,1.56%,-0.27%,-1.06%,-0.77%,-0.58%
9/24/2014,-0.87%,1.42%,1.12%,0.36%,0.78%
9/25/2014,-3.81%,-1.91%,-2.21%,-1.72%,-1.62%
9/26/2014,2.94%,0.40%,0.80%,0.56%,0.86%
9/29/2014,-0.64%,-0.43%,0.06%,-0.22%,-0.25%
9/30/2014,0.64%,0.19%,-0.17%,0.10%,-0.28%
10/1/2014,-1.56%,-1.54%,-0.99%,-1.40%,-1.32%
10/2/2014,0.73%,0.30%,-0.31%,-0.14%,0.00%
10/3/2014,-0.28%,1.36%,0.72%,0.94%,1.12%
10/6/2014,0.00%,-0.17%,0.00%,0.20%,-0.16%
10/7/2014,-0.87%,-1.62%,-1.22%,-1.76%,-1.51%
10/8/2014,2.08%,1.80%,2.75%,1.97%,1.75%
10/9/2014,0.22%,-2.27%,-1.99%,-1.55%,-2.07%
10/10/2014,-0.29%,-1.26%,-3.97%,-0.26%,-1.15%
10/13/2014,-0.91%,-1.59%,-0.86%,-1.30%,-1.65%
10/14/2014,-1.06%,0.61%,0.18%,0.15%,0.16%
10/15/2014,-1.23%,-0.76%,-1.17%,-1.12%,-0.81%
10/16/2014,-1.31%,-1.02%,-1.11%,-1.05%,0.01%
10/17/2014,1.46%,0.26%,2.08%,1.23%,1.29%
10/20/2014,2.14%,0.85%,1.03%,-7.11%,0.91%
10/21/2014,2.72%,2.98%,1.81%,-3.47%,1.96%
10/22/2014,0.51%,-0.75%,-1.11%,-0.88%,-0.73%
10/23/2014,1.79%,0.07%,1.44%,0.24%,1.23%
10/24/2014,0.37%,-8.34%,2.47%,-0.06%,0.71%
10/27/2014,-0.10%,1.01%,-0.48%,-0.13%,-0.15%
10/28/2014,1.55%,1.94%,1.26%,1.07%,1.19%
10/29/2014,0.56%,-0.50%,0.28%,-0.09%,-0.14%
10/30/2014,-0.34%,1.68%,-1.22%,0.54%,0.62%
10/31/2014,0.95%,2.14%,1.95%,0.03%,1.17%
11/3/2014,1.30%,0.09%,1.04%,-0.02%,-0.01%
11/4/2014,-0.73%,-0.95%,0.27%,-1.04%,-0.28%
11/5/2014,0.24%,-2.08%,0.61%,-0.51%,0.57%
11/6/2014,-0.15%,0.04%,1.76%,-0.22%,0.38%
11/7/2014,0.29%,1.09%,-0.04%,0.38%,0.03%
11/10/2014,-0.17%,1.75%,0.43%,0.88%,0.31%
11/11/2014,0.80%,2.26%,-0.04%,-0.12%,0.07%
11/12/2014,1.41%,-0.16%,-0.18%,-0.85%,-0.07%
11/13/2014,1.41%,1.60%,1.70%,0.54%,0.05%
11/14/2014,1.21%,3.58%,-0.06%,0.84%,0.02%
11/17/2014,-0.17%,-1.46%,-0.24%,0.00%,0.07%
11/18/2014,1.30%,0.58%,-1.46%,-1.38%,0.51%
11/19/2014,-0.69%,0.50%,-1.07%,-0.28%,-0.15%
11/20/2014,1.43%,1.22%,1.00%,-0.49%,0.20%
11/21/2014,0.14%,0.63%,-1.48%,0.17%,0.52%
11/24/2014,1.85%,0.90%,-0.81%,0.76%,0.29%
11/25/2014,-0.86%,-0.18%,-0.25%,-0.24%,-0.12%
11/26/2014,1.19%,-0.44%,0.59%,0.12%,0.28%
11/28/2014,-0.06%,1.52%,0.13%,0.14%,-0.25%
12/1/2014,-3.25%,-3.73%,1.69%,-0.39%,-0.68%
12/2/2014,-0.38%,0.10%,-0.33%,0.70%,0.64%
12/3/2014,1.13%,-3.01%,-0.78%,1.14%,0.38%
12/4/2014,-0.38%,0.14%,1.58%,-0.29%,-0.12%
12/5/2014,-0.42%,-1.36%,-0.86%,-0.48%,0.17%
12/8/2014,-2.26%,-1.92%,-1.50%,-0.86%,-0.73%
12/9/2014,1.53%,1.91%,-0.22%,0.70%,-0.02%
12/10/2014,-1.90%,-2.13%,-1.45%,-1.52%,-1.64%
12/11/2014,-0.29%,0.50%,0.58%,0.35%,0.45%
12/12/2014,-1.69%,-0.01%,-0.47%,-3.53%,-1.62%
12/15/2014,-1.37%,-0.41%,-0.60%,-1.49%,-0.63%
12/16/2014,-1.37%,-3.60%,-3.24%,-1.08%,-0.85%
12/17/2014,2.50%,1.29%,1.28%,0.34%,2.04%
12/18/2014,2.96%,-0.38%,3.89%,3.78%,2.40%
12/19/2014,-0.77%,0.73%,0.29%,0.53%,0.46%
12/22/2014,1.04%,2.21%,0.67%,1.85%,0.38%
12/23/2014,-0.35%,-0.08%,0.98%,0.50%,0.17%
12/24/2014,-0.47%,-1.06%,-0.64%,-0.26%,-0.01%
12/26/2014,1.77%,2.00%,-0.54%,0.32%,0.33%
12/29/2014,-0.07%,0.95%,-0.90%,-1.13%,0.09%
12/30/2014,-1.22%,-0.56%,-0.91%,-0.29%,-0.49%
12/31/2014,-1.90%,0.02%,-1.21%,0.24%,-1.03%
1/2/2015,-0.95%,-0.59%,0.67%,1.01%,-0.03%
1/5/2015,-2.82%,-2.05%,-0.93%,-1.57%,-1.83%
1/6/2015,0.01%,-2.28%,-1.46%,-2.16%,-0.89%
1/7/2015,1.40%,1.06%,1.27%,-0.65%,1.16%
1/8/2015,3.84%,0.68%,2.94%,2.17%,1.79%
1/9/2015,0.11%,-1.17%,-0.84%,0.44%,-0.84%
1/12/2015,-2.46%,-1.86%,-1.25%,-1.68%,-0.81%
1/13/2015,0.89%,1.14%,-0.53%,0.24%,-0.26%
1/14/2015,-0.38%,-0.50%,-0.86%,-0.64%,-0.58%
1/15/2015,-2.71%,-2.16%,-1.03%,-0.79%,-0.92%
1/16/2015,-0.78%,1.32%,1.67%,1.66%,1.34%
1/20/2015,2.58%,-0.45%,0.32%,-0.12%,0.15%
1/21/2015,0.76%,2.70%,-1.01%,-3.10%,0.47%
